场景	资源生成表ID	植被生成表ID
湿地.红树林_L	wetland_forest_1	wetland_outside
湿地.泥炭地R	wetland_peatland	wetland_outside
湿地.泥炭地_MID	wetland_peatland	wetland_outside
湿地.泥炭地_DOWN	wetland_peatland	wetland_outside
湿地.泥炭地_L	wetland_peatland	wetland_outside
湿地.泥炭地_红树林	wetland_peatland	wetland_outside
湿地.睡莲地L	wetland_lily_pond	wetland_lotus
湿地.睡莲地R	wetland_lily_pond	wetland_lotus
湿地.洞穴_睡莲地	wetland_cave	wetland_outside
湿地.洞穴_L	wetland_cave	wetland_cave
湿地.洞穴_泥炭地	wetland_peatland	wetland_outside
湿地.洞穴_开阔地	wetland_cave	wetland_cave
湿地.洞穴_隐藏	wetland_grassland	wetland_outside
湿地.洞穴_红树林	wetland_cave	wetland_outside
湿地.洞穴_MID	wetland_cave	wetland_cave
湿地.洞穴_R2	wetland_cave_depths	wetland_cave
湿地.洞穴_R3	wetland_cave_depths	wetland_cave
湿地.洞穴_污染区	wetland_cave	wetland_cave
