index	title	url	txt	children	assets
11	03备用贴图	https://ka7deoo0opr.feishu.cn/wiki/NKSJwBudUi9q89kN9GXcpQKwnRe	txt\011_03备用贴图_NKSJwBudUi9q89kN9GXcpQKwnRe.txt	1	3
12	05设备	https://ka7deoo0opr.feishu.cn/wiki/OAMZwIqkLi7xw3k7JcIcvxAQnHg	txt\012_05设备_OAMZwIqkLi7xw3k7JcIcvxAQnHg.txt	3	4
13	03小动物	https://ka7deoo0opr.feishu.cn/wiki/POkcwjhF3iPzmikWRZ2cn8n9ncf	txt\013_03小动物_POkcwjhF3iPzmikWRZ2cn8n9ncf.txt	2	5
14	02基础内容模组	https://ka7deoo0opr.feishu.cn/wiki/PwfowuR9Ti1OJGkH6j8cypQ6n6D	txt\014_02基础内容模组_PwfowuR9Ti1OJGkH6j8cypQ6n6D.txt	10	3
15	02新增帽子	https://ka7deoo0opr.feishu.cn/wiki/PxaIwKgsPiua7okPqgdcoCOZnkF	txt\015_02新增帽子_PxaIwKgsPiua7okPqgdcoCOZnkF.txt	2	0
16	06资源	https://ka7deoo0opr.feishu.cn/wiki/R8V7wQUQuiEdq8kaDRzcT1vXn5c	txt\016_06资源_R8V7wQUQuiEdq8kaDRzcT1vXn5c.txt	2	5
17	05贴图锚点说明	https://ka7deoo0opr.feishu.cn/wiki/Rdp1with9ih1frk7Pl8cbFD9nDc	txt\017_05贴图锚点说明_Rdp1with9ih1frk7Pl8cbFD9nDc.txt	0	4
18	01美化模组（替换现有贴图）	https://ka7deoo0opr.feishu.cn/wiki/SNOywxdl5iccH8kO413czWBKnwe	txt\018_01美化模组（替换现有贴图）_SNOywxdl5iccH8kO413czWBKnwe.txt	11	2
19	07建筑	https://ka7deoo0opr.feishu.cn/wiki/SqhhwDgKAi2NLhkYRgwcdWrdnff	txt\019_07建筑_SqhhwDgKAi2NLhkYRgwcdWrdnff.txt	2	8
20	05ID对照表	https://ka7deoo0opr.feishu.cn/wiki/Y9KzwjpI2ilLMdkWpmCcJhTtng8	txt\020_05ID对照表_Y9KzwjpI2ilLMdkWpmCcJhTtng8.txt	13	0
21	04ID对照表（道具）	https://ka7deoo0opr.feishu.cn/wiki/QaKDwjPdvi2GtEk7GKPcQEoenyf	txt\021_04ID对照表（道具）_QaKDwjPdvi2GtEk7GKPcQEoenyf.txt	1	0
22	09载具	https://ka7deoo0opr.feishu.cn/wiki/ApFewNFGeie7OYkImngcrxyQn2b	txt\022_09载具_ApFewNFGeie7OYkImngcrxyQn2b.txt	2	7
23	06综合案例一（新增道具）	https://ka7deoo0opr.feishu.cn/wiki/KWqewbBLEiRw1Pkcn6lcZpQ7nXg	txt\023_06综合案例一（新增道具）_KWqewbBLEiRw1Pkcn6lcZpQ7nXg.txt	2	0
24	07ID对照表（建筑）	https://ka7deoo0opr.feishu.cn/wiki/OGwfwegFXiaZNKkjr3GclYglndf	txt\024_07ID对照表（建筑）_OGwfwegFXiaZNKkjr3GclYglndf.txt	1	0
25	10综合案例五（新增平台）	https://ka7deoo0opr.feishu.cn/wiki/OdcywZdsuiio3MkdpLdcJretnte	txt\025_10综合案例五（新增平台）_OdcywZdsuiio3MkdpLdcJretnte.txt	2	0
26	04掉落上限、保底配置	https://ka7deoo0opr.feishu.cn/wiki/RsaywZ3JdieYHDkZpCLc1vYenvg	txt\026_04掉落上限、保底配置_RsaywZ3JdieYHDkZpCLc1vYenvg.txt	0	0
27	12ID对照表（掉落库）	https://ka7deoo0opr.feishu.cn/wiki/TOb9w60BJihlQgkwv87cEtzFnVd	txt\027_12ID对照表（掉落库）_TOb9w60BJihlQgkwv87cEtzFnVd.txt	0	0
28	08平台	https://ka7deoo0opr.feishu.cn/wiki/V8l8wVIUaitF7rkIBpQcSVLPnWe	txt\028_08平台_V8l8wVIUaitF7rkIBpQcSVLPnWe.txt	2	9
29	07综合案例二（新增帽子）	https://ka7deoo0opr.feishu.cn/wiki/WnCwwkXA4ixLjFkx2SIcTyyIned	txt\029_07综合案例二（新增帽子）_WnCwwkXA4ixLjFkx2SIcTyyIned.txt	1	0
30	09综合案例四（新增墙纸）	https://ka7deoo0opr.feishu.cn/wiki/YHhawESrpidQRikIjWJczOLLnrh	txt\030_09综合案例四（新增墙纸）_YHhawESrpidQRikIjWJczOLLnrh.txt	2	0
31	01ID对照表（主角本体&帽子&工具）	https://ka7deoo0opr.feishu.cn/wiki/WkvJwLK5pie03HkM0wzcPp6dnBg	txt\031_01ID对照表（主角本体&帽子&工具）_WkvJwLK5pie03HkM0wzcPp6dnBg.txt	1	0
32	04新增资源	https://ka7deoo0opr.feishu.cn/wiki/DSwGwUzfki0gkPk1k6dcio6bnpb	txt\032_04新增资源_DSwGwUzfki0gkPk1k6dcio6bnpb.txt	3	0
33	03新增料理	https://ka7deoo0opr.feishu.cn/wiki/KaKyw74DnibQhmkjPlMcJgZXnBf	txt\033_03新增料理_KaKyw74DnibQhmkjPlMcJgZXnBf.txt	4	0
34	07综合案例二（新增鱼)	https://ka7deoo0opr.feishu.cn/wiki/KkZ0wpgT1iLu4Vk2P32cNxnrnCd	txt\034_07综合案例二（新增鱼)_KkZ0wpgT1iLu4Vk2P32cNxnrnCd.txt	5	0
35	01新增作物（种子+果实）	https://ka7deoo0opr.feishu.cn/wiki/LO6uwLfSXilCHLkAymLclh1jncd	txt\035_01新增作物（种子+果实）_LO6uwLfSXilCHLkAymLclh1jncd.txt	2	0
36	05新增植被	https://ka7deoo0opr.feishu.cn/wiki/NwWvwfh7fin9WOk5vVQcyDSGnpb	txt\036_05新增植被_NwWvwfh7fin9WOk5vVQcyDSGnpb.txt	3	0
37	02新增鱼	https://ka7deoo0opr.feishu.cn/wiki/O64fw47MJiC2qXk8A4fc4RsInyf	txt\037_02新增鱼_O64fw47MJiC2qXk8A4fc4RsInyf.txt	3	0
38	08综合案例三（新增资源）	https://ka7deoo0opr.feishu.cn/wiki/U75Lwhq4qi4prxkti3zcffplnhf	txt\038_08综合案例三（新增资源）_U75Lwhq4qi4prxkti3zcffplnhf.txt	2	0
39	06综合案例一（新增作物）	https://ka7deoo0opr.feishu.cn/wiki/V3mywFHTtiE7kfk9RUVcrrednLb	txt\039_06综合案例一（新增作物）_V3mywFHTtiE7kfk9RUVcrrednLb.txt	3	0
40	02ID对照表（NPC）	https://ka7deoo0opr.feishu.cn/wiki/LlZgw36I2iOtX0kOkSGcfWTyn8c	txt\040_02ID对照表（NPC）_LlZgw36I2iOtX0kOkSGcfWTyn8c.txt	0	0
41	02道具数据模板	https://ka7deoo0opr.feishu.cn/wiki/Rv1swL7JEiLHSZkaNk7cFyyXnIh	txt\041_02道具数据模板_Rv1swL7JEiLHSZkaNk7cFyyXnIh.txt	1	1
42	01文本本地化	https://ka7deoo0opr.feishu.cn/wiki/SYYLwefL8imZYXkivwecR7X2ntc	txt\042_01文本本地化_SYYLwefL8imZYXkivwecR7X2ntc.txt	1	0
43	05ID对照表（设备）	https://ka7deoo0opr.feishu.cn/wiki/DSGAwje93icwXVkY8WvcpxCWnXg	txt\043_05ID对照表（设备）_DSGAwje93icwXVkY8WvcpxCWnXg.txt	0	0
44	03ID对照表（小动物）	https://ka7deoo0opr.feishu.cn/wiki/UdOwwqfOLiFcFMkW5rrchKVUnpd	txt\044_03ID对照表（小动物）_UdOwwqfOLiFcFMkW5rrchKVUnpd.txt	0	0
45	05新增商店道具	https://ka7deoo0opr.feishu.cn/wiki/CKj3wewhLiTuCkk2GrqceORunUg	txt\045_05新增商店道具_CKj3wewhLiTuCkk2GrqceORunUg.txt	2	0
46	01新增道具	https://ka7deoo0opr.feishu.cn/wiki/OFS1w4gFSiDkHRkXX1Pcu4ihnNh	txt\046_01新增道具_OFS1w4gFSiDkHRkXX1Pcu4ihnNh.txt	6	0
47	08综合案例三（新增设备）	https://ka7deoo0opr.feishu.cn/wiki/P57twsINsitUu6kWCDEc4vz6nNc	txt\047_08综合案例三（新增设备）_P57twsINsitUu6kWCDEc4vz6nNc.txt	1	0
48	03新增装饰设备	https://ka7deoo0opr.feishu.cn/wiki/PSUjwr1GuiRixsk95HlcYTVQnPd	txt\048_03新增装饰设备_PSUjwr1GuiRixsk95HlcYTVQnPd.txt	2	0
49	04新增配方	https://ka7deoo0opr.feishu.cn/wiki/VxeWw7ZDjiqFcTk0yLxcnB53n9b	txt\049_04新增配方_VxeWw7ZDjiqFcTk0yLxcnB53n9b.txt	3	0
50	06ID对照表（资源&植被）	https://ka7deoo0opr.feishu.cn/wiki/UTmLwGzpAijYjvkhvE9czGyenud	txt\050_06ID对照表（资源&植被）_UTmLwGzpAijYjvkhvE9czGyenud.txt	0	0
51	09ID对照表（商店）	https://ka7deoo0opr.feishu.cn/wiki/B9UqwiqJziQi3ckQVlLcCt4Zn9c	txt\051_09ID对照表（商店）_B9UqwiqJziQi3ckQVlLcCt4Zn9c.txt	0	0
52	11ID对照表（料理）	https://ka7deoo0opr.feishu.cn/wiki/MZXHwVGgsieTCdkyhpycIEDnnqb	txt\052_11ID对照表（料理）_MZXHwVGgsieTCdkyhpycIEDnnqb.txt	0	0
53	13ID对照表（平台）	https://ka7deoo0opr.feishu.cn/wiki/Qcxww5EmSiasxfkup2rcGQpXndc	txt\053_13ID对照表（平台）_Qcxww5EmSiasxfkup2rcGQpXndc.txt	0	1
54	10ID对照表（鱼）	https://ka7deoo0opr.feishu.cn/wiki/U3NBw40BAifRlPkyf8gc1tufnrd	txt\054_10ID对照表（鱼）_U3NBw40BAifRlPkyf8gc1tufnrd.txt	0	0
55	08ID对照表（配方）	https://ka7deoo0opr.feishu.cn/wiki/Vm9YwaBVMiZtvbkf5kIcASronye	txt\055_08ID对照表（配方）_Vm9YwaBVMiZtvbkf5kIcASronye.txt	0	0
